timestamp,cpu_percent,mem_percent,gpu_util_percent,gpu_mem_used_mb
2025-05-04 19:27:53.247868299,0.0285,0.144274,0.0,0.02
2025-05-04 19:28:24.333576441,0.0943,0.298417,0.99,0.4
2025-05-04 19:28:55.408629179,0.09359999999999999,0.28577,0.98,0.4
2025-05-04 19:29:26.489167213,0.09480000000000001,0.28522200000000003,0.99,0.4
2025-05-04 19:29:57.571210146,0.09720000000000001,0.285407,0.98,0.4
2025-05-04 19:30:28.653249979,0.7515999999999999,0.316156,0.03,0.19
2025-05-04 19:30:59.767439604,0.6883,0.321181,0.05,0.19
2025-05-04 19:31:30.857550859,0.0716,0.261679,0.94,0.29
2025-05-04 19:32:01.932644367,0.0699,0.25238499999999997,0.94,0.28
2025-05-04 19:32:33.008116007,0.0688,0.220731,0.94,0.28
2025-05-04 19:33:04.093897104,0.0582,0.184873,0.18,0.18
2025-05-04 19:33:35.170701504,0.49420000000000003,0.255669,0.1,0.15
2025-05-04 19:34:06.274666071,0.3547,0.20518899999999998,0.02,0.12
2025-05-04 19:34:37.349598885,0.2339,0.24228100000000002,0.03,0.15
2025-05-04 19:35:08.438789129,0.0313,0.21993200000000002,0.2,0.15
2025-05-04 19:35:39.524344683,0.0313,0.18481999999999998,0.23,0.15
2025-05-04 19:36:10.600053549,0.0322,0.18163900000000002,0.2,0.15
2025-05-04 19:36:41.677449703,0.0322,0.179539,0.18,0.15
2025-05-04 19:37:12.751316786,0.0322,0.181341,0.2,0.15
2025-05-04 19:37:43.828285694,0.0356,0.179461,0.23,0.15
2025-05-04 19:38:14.906097651,0.0318,0.179169,0.19,0.15
2025-05-04 19:38:45.981851101,0.3712,0.204355,0.06,0.12
2025-05-04 19:39:17.062543631,0.0194,0.165137,0.0,0.09
2025-05-04 19:39:48.166737556,0.2776,0.25034300000000004,0.03,0.2
2025-05-04 19:40:19.276321173,0.0316,0.231246,0.21,0.2
2025-05-04 19:40:50.352610111,0.031200000000000002,0.18506499999999998,0.18,0.2
2025-05-04 19:41:21.435694695,0.0319,0.180268,0.18,0.2
2025-05-04 19:41:52.511130810,0.0319,0.179708,0.19,0.19
2025-05-04 19:42:23.593942404,0.031200000000000002,0.179484,0.18,0.19
2025-05-04 19:42:54.677850485,0.0315,0.179469,0.18,0.19
2025-05-04 19:43:25.752520084,0.0316,0.179479,0.18,0.19
2025-05-04 19:43:56.827729940,0.031200000000000002,0.17948,0.19,0.19
2025-05-04 19:44:27.904524088,0.0316,0.179443,0.18,0.19
2025-05-04 19:44:58.981057167,0.0313,0.17939800000000003,0.18,0.19
2025-05-04 19:45:30.064606667,0.0319,0.18101299999999998,0.18,0.2
2025-05-04 19:46:01.140876293,0.0316,0.18057800000000002,0.18,0.2
2025-05-04 19:46:32.215650082,0.021,0.13882,0.0,0.09
2025-05-04 19:47:03.290400267,0.40259999999999996,0.191892,0.09,0.12
2025-05-04 19:47:34.367136002,0.2579,0.246358,0.0,0.22
2025-05-04 19:48:05.469326496,0.17920000000000003,0.259165,0.0,0.22
2025-05-04 19:48:36.584775925,0.0232,0.228372,0.2,0.22
2025-05-04 19:49:07.660563231,0.0322,0.187513,0.18,0.22
2025-05-04 19:49:38.734034777,0.031200000000000002,0.18215699999999999,0.19,0.22
